moduleCode,title,semesters,moduleCredit,prereqTree
ME5616,Material Processing of Cellular Solids,1,4,
ME5666,Industrial Attachment,"1,2,3,4",4,
ME5701,Mathematics for Engineering Research,1,4,
ME5888M,Mechanical Engineering Internship,"3,4",4,
ME5888R,Robotics Internship,"3,4",4,
ME5999,Graduate Seminars,"1,2",4,
ME6108,Advances in Vibroacoustics,1,4,
ME6204,Advanced Heat Transfer,2,4,
ME6301,Research Topics in Fluid Dynamics,2,4,
ME6303,Advanced Fluid Dynamics,1,4,
ME6401,Topics in Mechatronics 1,1,4,
ME6504,Mechanical Failure Analysis: Learning from Examples,"1,2",4,
ME6505,Engineering Materials in Medicine,1,4,
ME6509,Materials and Sustainability,1,4,
ME6604,Modelling of Manufacturing Processes,2,4,
ME6999,Doctoral Seminars,"1,2",8,
MEM5101,Business and Sustainable Development,2,4,
MEM5102,Applied Research Methodology,1,4,
MEM5103,Capstone Project for Environmental Management,2,4,MEM5102:CS
MEM5104,Seminars on Environmental Management,"1,2",0,
MIC2000A,Infection and Immunology,2,4,
MIH1101,What Impacts Health?,1,4,
MIH1102,Improving Health: Beyond Medicine,2,4,
MIH2201,Barriers to Health,2,4,
MKT1705A,Principles of Marketing,2,4,
MKT1705B,Principles of Marketing,"1,2",4,
MKT1705C,Principles of Marketing,"1,2",4,
MKT1705D,Principles of Marketing,"1,2",4,
MKT1705E,Principles of Marketing,1,4,
MKT1705X,Principles of Marketing,"1,2",4,
MKT2711,Marketing Venture Challenge,2,4,MKT1705%:D
MKT2711A,Marketing Venture Challenge,1,4,MKT1705%:D
MKT2711B,Marketing Venture Challenge,1,4,MKT1705%:D
MKT3429,Independent Study in Marketing,1,4,
MKT3439,Independent Study in Marketing,1,2,
MKT3701A,Marketing Strategy: Analysis and Practice,"1,2",4,MKT1705%:D
MKT3701B,Marketing Strategy: Analysis and Practice,"1,2",4,MKT1705%:D
MKT3702,Consumer Behaviour,2,4,MKT1705%:D
MKT3702A,Consumer Behaviour,1,4,MKT1705%:D
MKT3702B,Consumer Behaviour,1,4,MKT1705%:D
MKT3711,Services Marketing,"1,2",4,MKT1705%:D
MKT3714,Digital Marketing,2,4,
MKT3714A,Digital Marketing,1,4,MKT1705%:D
MKT3714B,Digital Marketing,1,4,MKT1705%:D
MKT3715,Business-to-Business Marketing,"1,2",4,MKT1705%:D
MKT3716,Customer Relationship Management,"1,2",4,MKT1705%:D
MKT3717,Product & Brand Management,"1,2",4,MKT1705%:D
MKT3718,Advertising & Promotion Management,"1,2",4,MKT1705%:D
MKT3724,Sustainability Marketing,"1,2",4,MKT1705%:D
MKT3751,Independent Study in Marketing,"1,2",4,
MKT3752,Indep Study in Mkting (2 Units),1,2,
MKT4419,Advanced Independent Study in Marketing,1,4,
MKT4429,Advanced Independent Study in Marketing,1,2,
MKT4719,Distribution Management: Channels and Platforms,1,4,MKT1705%:D
MKT4720,Product Experience Management,1,4,MKT1705%:D
MKT4721,Customer Analytics & Visualization,1,4,MKT1705%:D
MKT4722,Personal Selling & Sales Management,2,4,MKT1705%:D
MKT4723,Customer Experience Management,"1,2",4,MKT1705%:D
MKT4751,Advanced Independent Study in Marketing,"1,4",4,
MKT4752,Advanced Independent Study in Marketing (2 Units),1,2,
MKT4761A,SIM: Growing and Marketing the Next On-Demand Unicorn,2,4,"{'and': ['MKT1705%:D', 'MKT3701%:D']}"
MKT4761F,SIM: Disruption and Marketing,"1,2",4,MKT1705%:D
MKT4761H,SIM: Marketing Strategy & Execution,1,4,MKT1705%:D
MKT4761K,Seminars in Marketing: Marketing Technology,"1,2",4,MKT1705%:D
MKT4761L,SIM: Consumer Insights for Business Growth,2,4,MKT1705%:D
MKT4811,Pricing Strategy,"1,2",4,MKT1705%:D
MLE1001B,Materials Science & Engineering Principles & Practice 1,1,4,
MLE2001A,Materials Science & Engineering Principles & Practice II,2,4,
MLE2101,Introduction to Structure of Materials,1,4,"{'or': [{'nOf': [2, ['PC1221:D', 'PC1222:D']]}, 'PC1201:D', 'MLE1111:D', 'MLE1001:D', 'MLE1002:D', 'MLE1001A:D', 'MLE1001B:D']}"
MLE2102,Thermodynamics and Renewable Energy Technologies,1,4,"{'or': ['MLE1111:D', 'MLE1001:D', 'MLE1002:D', 'MLE1001A:D', 'MLE1001B:D']}"
MLE2103,Phase Transformation and Kinetics,1,3,"{'or': ['MLE2102:D', 'MLE1111:D', 'MLE1001:D', 'MLE1002:D', 'MLE1001A:D']}"
MLE2103A,Materials Kinetics & Processing,1,2,
MLE2104,Mechanical Properties of Materials,2,4,"{'or': ['MLE1101:D', 'MLE2101:D', 'EG1109:D', 'MLE1111:D', 'MLE1001:D', 'MLE1002:D']}"
MLE2105,Electronic Properties of Materials,2,4,
MLE2301,Introduction to Materials Science & Engineering,1,4,
MLE3101,Materials Characterization Laboratory,1,3,"{'or': ['MLE1101:D', 'MLE2101:D', 'MLE1001:D', 'MLE1002:D', 'MLE2102:D']}"
MLE3101A,Materials Characterization,"1,2",3,
MLE3102,Degradation and Failure of Materials,2,4,"{'or': ['MLE1101:D', 'MLE2102:D', 'MLE1111:D', 'MLE1001:D', 'MLE1002:D']}"
MLE3103,Materials Design: Aerospace to Biomedical Applications,1,4,"{'or': ['MLE1101:D', 'MLE2104:D', 'MLE1001:D', 'MLE1002:D', 'MLE2102:D']}"
MLE3104,Polymeric and Composite Materials,1,4,"{'or': ['MLE1101:D', 'CM1121:D', 'CM1501:D', 'MLE1111:D', 'MLE1001:D', 'MLE1002:D', 'MLE2102:D', 'MLE2301:D']}"
MLE3111,Materials Properties & Processing Laboratory,1,4,"{'or': ['MLE2101:D', 'MLE2111:D', 'MLE1001:D', 'MLE1002:D']}"
MLE3202,Materials for Biointerfaces,1,4,"{'or': ['MLE1101:D', 'MLE1111:D', 'MLE1001:D', 'MLE1002:D', 'MLE2102:D', 'MLE2301:D']}"
MLE4101,B.Eng. Dissertation,"1,2",12,"{'nOf': [4, ['MLE2103:D', 'MLE2104:D', 'MLE2105:D', 'MLE3101:D']]}"
MLE4101A,BEng Dissertation,"1,2",6,"{'nOf': [3, ['MLE2103:D', 'MLE2104:D', 'MLE3101:D']]}"
MLE4101B,B.Eng. Dissertation,"1,2",8,
MLE4102,Design Project,1,4,MLE2103:D
MLE4102A,Design Project,"1,2",8,"{'nOf': [3, ['MLE1002:D', 'MLE2104:D', 'MLE3111:D', 'MLE2001:D']]}"
MLE4202,Selected Advanced Topics on Polymers,2,4,MLE3104:D
MLE4203,Polymeric Biomedical Materials,2,4,"{'nOf': [2, ['MLE3104:D', 'BN3301:D', 'MLE3202:D']]}"
MLE4206,Current topics on Nanomaterials,2,4,"{'nOf': [2, ['MLE2104:D', 'MLE2105:D']]}"
MLE4207,Microfabrication Process and Technology,2,4,"{'nOf': [2, ['MLE2101:D', 'MLE2105:D']]}"
MLE4208,Photovoltaics Materials,2,4,"{'or': ['MLE2105:D', 'EE3406:D']}"
MLE4210,Materials for energy storage and conversion,1,4,MLE2105:D
MLE4212,Advanced Structural Materials,1,4,"{'or': ['MLE3102:D', 'MLE3203:D', 'MLE2106:D']}"
MLE4213,Innovation & Product Development for Material Engineers,1,4,MLE2104:D
MLE4219,Materials for Optics: from Quantum Light to Nanodevices,1,4,
MLE4221,Emerging materials for renewable fuels and clean water,1,4,MLE2102:D
MLE4222,Electron transport in novel quantum materials,2,4,
MLE4228,Materials For Robotic Sensing And Actuation,1,4,"{'or': ['MLE2001A:D', 'MLE2301:D', 'ME3252:D', 'BN3301:D', 'EE3431C:D']}"
MLE5001,Basics of Structures & Properties of Materials,1,4,
MLE5002,Materials Characterization,2,4,
MLE5003,Materials Science &Engineering Project,"1,2",8,
MLE5004,Innovation & Translation Research Project in MSE,"1,2",8,
MLE5101,Thermodynamics for Sustainability,1,4,
MLE5102,Mechanical Behaviours of Materials,2,4,
MLE5104,Physical Properties of Materials,1,4,
MLE5208,Photovoltaic Materials,2,4,
MLE5211,Nanomaterials,2,4,
MLE5212,Energy Conversion & Storage,1,4,
MLE5213,Magnetic Materials,2,4,
MLE5214,Advances in Polymeric Materials,2,4,
MLE5216,Introduction to Microscopy for Materials Research,1,4,
MLE5217,Foundations of Machine Learning for Materials Science,2,4,
MLE5220,Computation of Macroscopic Materials Behaviours,1,4,
MLE5221,Designing materials for renewable fuels and clean water,1,4,
MLE5222,Nano and 2D materials for Energy applications,2,4,
MLE5223,Rational Materials Design for Sustainability,2,4,
MLE5224,Degradation of Materials,2,4,
MLE5225,Electro-Active Materials for Sustainability,2,4,
MLE5228,Superconductivity and Superconducting Devices,1,4,
MLE5229,Advanced Materials for Microelectronics,2,4,
MLE5232,Dielectric Materials and Applications,2,4,
MLE5233,Functional Electronic Devices of Tomorrow,2,4,
MLE5236,Electron Transport in Novel Quantum Materials,2,4,
MLE5666,Industrial Attachment Module,"1,2",4,
MLE5999,Graduate Seminars,"1,2",4,
MLE6101,Thermodynamics and Kinetics of Materials,1,4,
MLE6103,Structures of Materials,1,4,
MLE6208,Practical Transmission Electron Microscopy,2,4,
MLE6999,Doctoral Seminars,"1,2",8,
MNO1706A,Organisational Behaviour,"1,2",4,
MNO1706B,Organisational Behaviour,"1,2",4,
MNO1706C,Organisational Behaviour,"1,2",4,
MNO1706D,Organisational Behaviour,"1,2",4,
MNO1706E,Organisational Behaviour,"1,2",4,
MNO1706F,Organisational Behaviour,1,4,
MNO1706X,Organisational Behaviour,"1,2",4,
MNO2705A,Leadership and Decision Making under Uncertainty,"1,2",4,"{'or': ['MNO1706%:D', 'PL3239:D']}"
MNO2705B,Leadership and Decision Making under Uncertainty,"1,2",4,"{'or': ['MNO1706%:D', 'PL3239:D']}"
MNO2705C,Leadership and Decision Making under Uncertainty,"1,2",4,"{'or': ['MNO1706%:D', 'PL3239:D']}"
MNO2705D,Leadership and Decision Making under Uncertainty,"1,2",4,"{'or': ['MNO1706%:D', 'PL3239:D']}"
MNO2705E,Leadership and Decision Making under Uncertainty,"1,2",4,"{'or': ['MNO1706%:D', 'PL3239:D']}"
MNO2706,Business Communication for Leaders (ACC),"1,2",4,
MNO3329,Independent Study in Leadership & Human Capital Mgmt,1,4,"{'or': ['MNO1001:D', 'MNO1001A:D', 'MNO1001B:D', 'MNO1001C:D', 'MNO1001D:D', 'MNO1001E:D', 'MNO1001X:D', 'PL3239:D']}"
MNO3339,Independent Study in Leadership & Human Capital Mgmt,1,2,
MNO3701,Human Capital Management,"1,2",4,"{'or': ['MNO1706%:D', 'PL3239:D']}"
MNO3702,Negotiation and Conflict Management,"1,2",4,"{'or': ['MNO1706%:D', 'PL3239:D']}"
MNO3703,Leading in the 21st Century,"1,2",4,"{'or': ['MNO1706%:D', 'PL3239:D']}"
MNO3713,Management of Employee Relations,"1,2",4,"{'or': ['MNO1706%:D', 'PL3239:D']}"
MNO3716,Principles of Global Management,1,4,"{'or': ['MNO1706%:D', 'PL3239:D']}"
MNO3717,Business Innovation & Cross-Cultural Communication,3,2,"{'or': ['MNO1706%:D', 'PL3239:D']}"
MNO3751,Independent Study in Leadership & Human Capital Mgmt,1,4,"{'or': ['MNO1706%:D', 'PL3239:D']}"
MNO3752,Independent Study in Leadership & Human Capital Mgmt (2 Units),1,2,"{'or': ['MNO1706%:D', 'PL3239:D']}"
MNO3761A,TILHCM: Employee and Organizational Misbehaviours,2,4,"{'or': ['MNO1706%:D', 'PL3239:D']}"
MNO3811,Social Entrepreneurship,1,4,"{'or': ['MNO1706%:D', 'PL3239:D']}"
MNO4319,Adv Independent Study in Leadership & Human Capital Mgt,1,4,"{'and': [{'or': ['MNO1001:D', 'MNO1001A:D', 'MNO1001B:D', 'MNO1001C:D', 'MNO1001D:D', 'MNO1001E:D', 'MNO1001X:D', 'PL3239:D']}, {'or': ['MNO2007:D', 'MNO2007A:D', 'MNO2007B:D', 'MNO2007C:D', 'MNO2007D:D', 'MNO2007E:D']}]}"
MNO4329,Adv Independent Study in Leadership & Human Capital Mgt,1,2,"{'and': [{'or': ['MNO1001:D', 'MNO1001A:D', 'MNO1001B:D', 'MNO1001C:D', 'MNO1001D:D', 'MNO1001E:D', 'MNO1001X:D', 'PL3239:D']}, {'or': ['MNO2007:D', 'MNO2007A:D', 'MNO2007B:D', 'MNO2007C:D', 'MNO2007D:D', 'MNO2007E:D']}]}"
MNO4712,Experiencing Work: Effects on Behaviour & Well-Being,1,4,"{'and': [{'or': ['MNO1706%:D', 'PL3239:D']}, 'MNO2705%:D']}"
MNO4715,Foresight and Scenario Planning,2,4,"{'and': [{'or': ['MNO1706%:D', 'PL3239:D']}, 'MNO2705%:D']}"
MNO4717,Talent Acquisition,2,4,"{'and': [{'or': ['MNO1706%:D', 'PL3239:D']}, 'MNO2705%:D']}"
MNO4751,Adv Independent Study in Leadership & Human Capital Mgt,1,4,"{'and': [{'or': ['MNO1706%:D', 'PL3239:D']}, 'MNO2705%:D']}"
MNO4752,Adv Independent Study in Leadership & Human Capital Mgt (2 MC),1,2,"{'and': [{'or': ['MNO1706%:D', 'PL3239:D']}, 'MNO2705%:D']}"
MNO4761A,SILHCM: Compensation and Performance Management,1,4,"{'and': [{'or': ['MNO1706%:D', 'PL3239:D']}, 'MNO2705%:D']}"
MNO4861C,SILHCM: Corp Entrepreneurship & Busi Model Evaluation,1,4,"{'and': [{'or': ['MNO1706%:D', 'PL3239:D']}, 'MNO2705%:D']}"
MS1102E,Understanding the Contemporary Malay World,"1,2",4,
MS2210,Malay Culture & Society,2,4,
MS2211,Criticism in Modern Malay Literature,1,4,
MS2212,Law and Malay Society,1,4,
MS2213,Families and Households - Lived Experiences,1,4,
MS2216,Fieldwork in Studies of Malay Society,2,4,MS1102E:D
MS2217,Singapore’s Malay Built Heritage: Legacies of Diversity,2,4,
MS2218,Malay-Islamic Cultural Encounters: Arts and Aesthetics,1,4,
MS2219,Networks and the Malay World,2,4,
MS2220,Arts and Artists in the Nusantara,1,4,
MS3209,Being Malays in Singapore,2,4,
MS3210,Modern Indonesian Literature,1,4,
MS3211,Political Culture of the Malays,2,4,
MS3213,Ideology & Ideas on Malay Development,2,4,
MS3214,Asian Traditions and Modernisation,1,4,
MS3216,Gender and Islam,1,4,
MS3550,Malay Studies Internship,"1,2,3,4",4,"{'nOf': [6, ['MS%:D']]}"
MS4101,Theory and Practice in Malay Studies,1,4,"{'or': [{'nOf': [7, ['MS%:D']]}, {'nOf': [7, ['SC%:D']]}]}"
MS4101HM,Theory and Practice in Malay Studies,1,5,"{'or': [{'nOf': [7, ['MS%:D']]}, {'nOf': [7, ['SC%:D']]}, {'nOf': [7, ['GL%:D']]}, {'nOf': [7, ['MS%:D']]}, {'nOf': [7, ['SC%:D']]}]}"
MS4204,The Malay Middle Class,1,4,"{'or': [{'nOf': [7, ['MS%:D']]}, {'nOf': [7, ['SN%:D']]}, {'nOf': [7, ['SC%:D']]}]}"
MS4204HM,The Malay Middle Class,1,5,"{'or': [{'nOf': [7, ['MS%:D']]}, {'nOf': [7, ['SN%:D']]}, {'nOf': [7, ['SC%:D']]}, {'nOf': [7, ['GL%:D']]}, {'nOf': [7, ['MS%:D']]}, {'nOf': [7, ['SN%:D']]}, {'nOf': [7, ['SC%:D']]}]}"
MS4208,Syariah Law in Southeast Asia,2,4,"{'or': [{'nOf': [7, ['MS%:D']]}, {'nOf': [7, ['GL%:D']]}]}"
MS4208HM,Syariah Law in Southeast Asia,2,5,"{'or': [{'nOf': [7, ['MS%:D']]}, {'nOf': [7, ['MS%:D']]}, {'nOf': [7, ['GL%:D']]}]}"
MS4401,Honours Thesis,"1,2",8,"{'nOf': [10, ['MS%:D']]}"
MS4401HM,Honours Thesis,"1,2",15,"{'nOf': [11, ['MS%:D']]}"
MS4660,Independent Study,"1,2",4,"{'nOf': [10, ['MS%:D']]}"
MS4660HM,Independent Study,"1,2",5,"{'nOf': [11, ['MS%:D']]}"
MS4880A,Orientations in Muslim Resurgence Movements,1,4,"{'or': [{'nOf': [7, ['MS%:D']]}, {'nOf': [7, ['SC%:D']]}]}"
MS4880AHM,Orientations in Muslim Resurgence Movements,1,5,"{'or': [{'nOf': [7, ['MS%:D']]}, {'nOf': [7, ['SC%:D']]}]}"
MS4880B,Malays Encountering Globalization: Culture and Identity,2,4,"{'or': [{'nOf': [7, ['MS%:D']]}, {'nOf': [7, ['SC%:D']]}, {'nOf': [7, ['HY%:D']]}, {'nOf': [7, ['GL%:D']]}]}"
MS4880BHM,Malays Encountering Globalization: Culture and Identity,2,5,"{'or': [{'nOf': [7, ['MS%:D']]}, {'nOf': [7, ['SC%:D']]}, {'nOf': [7, ['HY%:D']]}, {'nOf': [7, ['GL%:D']]}]}"
MS5101,Social Science and Malay Studies,1,4,
MS5201,Critiques in Malay Studies,2,4,
MS5660,Independent Study,"1,2",4,
MS6660,Independent Study,"1,2",4,
MS6770,Graduate Research Seminar,2,4,
MT5001,Intellectual Property Management & Innovation Strategy,1,4,
MT5006,Value Creation Through Product Development,1,4,
MT5007,Management of Technological Innovation,1,4,
MT5007G,Management of Technological Innovation,1,4,
MT5008,Internal and Collaborative Corporate Entrepreneurship,1,4,
MT5010,"Technology Forecasting, Intelligence & Foresighting",2,4,
MT5011,Business Finance in the Technology Industry,1,4,
MT5012,Marketing of Technology Products in the Digital Era,1,4,
MT5020,Managing the Human elements of Technology Management,1,4,
MT5021,Creativity and Problem-Solving Skills,2,4,
MT5022,Digital Disruption and Technology Strategy,2,4,
MT5023,Technology-Based Entrepreneurial Strategy,2,4,
MT5024,Maximising Innovation Value through Patent Analytics,2,4,
MT5026,Experiential Learning: Applied Project,2,4,
MT5027,Embracing the future: Entrepreneurship in Emerging Technologies,2,4,
MT5666,Industrial Attachment,"1,2,3,4",4,
MT5766,Technology Management Internship,"1,2,3",8,
MT5866,Industrial Project and Attachment,2,12,
MT5900,Mot Research Project,"1,2",8,
MT5901,Management Practicum,"1,2",2,
MT5902,Management Extended Practicum,"1,2",4,
MT5911,Venture Capital Funding for TechVenture,2,4,
MT5913,TechLaunch - Experiential Entrepreneurship,"1,2",4,
MT5920,Enterprise Development,"1,2",4,
MT5922,Concepts and Application of Engineering Leadership,1,4,
MT5966,Overseas Industrial Project and Attachment,2,12,
MT5999,Graduate Seminars,"1,2",4,
MT6999,Doctoral Seminars,"1,2",8,
MTM5001,Maritime Industry Fundamentals,1,6,
MTM5002,Port Logistics and Supply Chain,1,4,
MTM5004,Maritime Data Analytics,"1,2",6,
MTM5005,Intermodal Freight Transport and Logistics,2,4,
MTM5101,Maritime Industrial Attachment,"1,2,3",12,
MTM5101P,Maritime Team Project,"1,2",12,
MUA1101,Composition Major Study 1A,1,4,
MUA1102,Composition Major Study 1B,2,4,MUA1101:D
MUA1107,Conservatory Orchestra,"1,2",2,
MUA1108,Conservatory Orchestra,"1,2",2,MUA1107:CS
MUA1109,Foundations for String Chamber Music,2,4,
MUA1111,Piano Ensemble 1A,1,2,
MUA1112,Piano Ensemble 1B,2,2,MUA1111:D
MUA1115,Foundations of Vocal Accompaniment / Sight-Reading,1,2,
MUA1116,Foundations of Instrumental Accompaniment,2,2,
MUA1153,Noon Recital Series 1A,"1,2",0,
MUA1154,Noon Recital Series 1B,"1,2",0,
MUA1159,A Pianist's Toolbox 1,"1,2",2,
MUA1161,Foundational Studies on Principal Instrument,"1,2",4,
MUA1162,Juried Performance Presentation,"1,2",4,MUA1161:D
MUA1163,The Profession of Music 1,1,2,
MUA1165,Music and Machines,2,4,
MUA1166,Introduction to Computing Media in Max,1,4,
MUA1167,The Profession of Music 2,2,2,MUA1163:D
MUA1168,Foundational Area Study 1,"1,2",4,
MUA1169,Foundational Area Study 2,2,4,MUA1168:D
MUA1170,Fundamentals of Music Production and Recording 1,1,4,
MUA1171,Fundamentals of Music Production and Recording 2,2,4,MUA1170:D
MUA1172,Critical Listening 1,1,4,
MUA1188,Music Initiatives and Projects 1,"1,2",4,
MUA1189,Music Initiatives and Projects 2,2,4,MUA1188:D
MUA1190,Applied Voice Major Study 1A,"1,2",4,
MUA1191,Applied Voice Major Studies 1B,"1,2",4,MUA1190:D
MUA1192,Chamber Singers 1,"1,2",2,
MUA1193,Chamber Singers 2,"1,2",2,MUA1192:D
MUA1196,Diction for Singers 1,1,2,
MUA1223,Desktop Mixing and Production,"1,2",4,
MUA1240,Exploration in Musical Production,2,4,
MUA2101,Composition Major Study 2A,1,4,MUA1102:D
MUA2102,Composition Major Study 2B,2,4,MUA2101:D
MUA2107,Conservatory Orchestra,"1,2",2,MUA1108:CS
MUA2108,Conservatory Orchestra,"1,2",2,MUA2107:D
MUA2109,Chamber Music,"1,2",2,
MUA2110,Chamber Music in Mixed Ensemble,"1,2",2,
MUA2153,Noon Recital Series 2A,"1,2",0,
MUA2154,Noon Recital Series 2B,"1,2",0,
MUA2157,Contemporary Musicianship A,1,2,MUT1102:D
MUA2158,Contemporary Musicianship B,2,2,MUA2157:D
MUA2159,A Pianist's Toolbox 2,2,2,MUA1159:D
MUA2161,Advanced Juried Performance Presentation,"1,2",6,MUA2162:D
MUA2162,Continuing Studies on Principal Instrument,"1,2",6,MUA1162:D
MUA2163,Leading and Guiding Through Music,"1,2",4,MUA1167:D
MUA2168,Continuing Area Study 1,"1,2",4,MUA1169:D
MUA2169,Continuing Area Study 2,2,4,MUA2168:D
MUA2170,Multitrack Recording 1,1,4,MUA1171:D
MUA2171,Multitrack Recording 2,2,4,MUA2170:D
MUA2172,Room Acoustics,1,4,
MUA2177,Audio Networks,2,4,
MUA2188,Music Initiatives and Projects 3,"1,2",4,MUA1189:D
MUA2189,Music Initiatives and Projects 4,2,4,MUA2188:D
MUA2190,Applied Voice Major Study 2A,"1,2",4,MUA1191:D
MUA2191,Applied Voice Major Study 2B,"1,2",4,MUA2190:D
MUA2192,Chambers Singers 3,"1,2",2,MUA1193:D
MUA2193,Chambers Singers 4,"1,2",2,MUA2192:D
MUA2196,Diction for Singers 2,2,2,MUA1196:D
MUA2203,Keyboard Literature: Genres throughout History,1,4,
MUA2204,Keyboard Literature: Sonatas in Context,2,4,
MUA2205,Rhythmic Devices in Performance 1,"1,2",2,
MUA2210,Rhythmical Devices in Performance 2,"1,2",2,MUA2205:D
MUA2229,Music and Health,1,4,
MUA2230,The Psychology of Music Performance,2,4,
MUA2240,Collaborative Piano - Piano Ensemble,"1,2",2,MUA1111:D
MUA2241,Collaborative Piano - Vocal Accompaniment,"1,2",2,MUA1115:D
MUA2242,Collaborative Piano - Instrumental Accompaniment,"1,2",2,MUA1116:D
MUA2243,Collaborative Piano - Chamber Music,"1,2",2,MUA1116:D
MUA2255,Applied Secondary A,"1,2",2,
MUA2255A,Applied Secondary,"1,2",2,
MUA2255B,Applied Secondary,"1,2",2,
MUA2256,Applied Secondary B,"1,2",2,
MUA2256A,Applied Secondary,"1,2",2,MUA2255A:D
MUA2256B,Applied Secondary,"1,2",2,MUA2255B:D
MUA2266,Navigating Community Music Projects,"1,2",2,MUA1163:D
MUA2267,Navigating Community Music Projects,2,2,"{'nOf': [2, ['MUA2266:D', 'MUA1167:D']]}"
MUA3101,Composition Major Study 3A,1,6,MUA2102:D
MUA3102,Composition Major Study 3B,"1,2",6,MUA3101:D
MUA3105,Conducting,"1,2",2,MUA2163:D
MUA3107,Conservatory Orchestra,"1,2",2,MUA2108:D
MUA3108,Conservatory Orchestra,"1,2",2,MUA3107:D
MUA3109,Chamber Music,"1,2",2,MUA2109:D
MUA3110,Chamber Music in Mixed Ensemble,"1,2",2,MUA2110:D
MUA3113,Keyboard Skills for Piano Majors,1,2,
MUA3115,Orchestral Studies for Pianists,2,4,
MUA3116,Pedagogy for Orchestral Instrumentalists,2,4,MUA2162:D
MUA3117,Contemporary Music Performance,"1,2",4,
MUA3133,Compositional Discourse,2,4,
MUA3153,Noon Recital Series 3A,"1,2",0,
MUA3154,Noon Recital Series 3B,"1,2",0,
MUA3161,Junior Recital,"1,2",6,MUA2162:D
MUA3162,Intermediate Studies on Principal Instrument,"1,2",6,MUA3161:D
MUA3163,Musical Pathways,"1,2",4,MUA2163:D
MUA3168,Intermediate Area Study,1,4,MUA2169:D
MUA3169,Music Project and Design,1,2,
MUA3170,Audio Postproduction I,1,4,MUA2171:D
MUA3172,Audio Postproduction 2,2,4,MUA3170:D
MUA3177,Music Programming & Production,1,4,MUA2163:D
MUA3178,MS / MCP 3rd Year Project,"1,2",6,"{'or': ['MUA2162:D', 'MUA2191:D', 'MUA2102:D', 'MUA2168:D', 'MUA2177:D']}"
MUA3179,Capstone Project for Second Major in Music,"1,2",6,
MUA3181,Advanced Concepts in Orchestral Repertoire,1,4,
MUA3188,Live Sound Reinforcement,1,4,
MUA3189,Live Sound Reinforcement Project,2,4,MUA3188:D
MUA3190,Applied Voice Major Study 3B,"1,2",4,MUA3191:D
MUA3191,Junior Recital in Voice,"1,2",6,MUA2191:D
MUA3194,Voice Literature 1,1,2,
MUA3195,Voice Literature 2,2,2,MUA3194:D
MUA3201,Advanced Contemporary Music Performance,"1,2",2,MUA3117:D
MUA3202,Advanced Contemporary Music Performance,"1,2",2,MUA3201:D
MUA3204,Conducting Contemporary Instrumental Music,1,2,MUA3105:D
MUA3205,Jazz Study and Performance 1,"1,2",4,
MUA3206,Jazz Study and Performance 2,"1,2",4,MUA3205:D
MUA3208,Creative Producing for Music Majors,1,4,MUA2163:D
MUA3209,Business for Musicians,2,4,MUA2163:D
MUA3213,Music Notation and Engraving,2,4,
MUA3216,Performance and Interaction,"1,2",4,MUA3163:D
MUA3219,World Music Ensemble,"1,2",4,
MUA3221,Intensive Music Engagement Practicum,1,2,
MUA3223,Cultural Encounters - Bali Excursion and Study Tour,4,4,
MUA3224,Intermediate Keyboard Studies,"1,2",4,
MUA3225,Early Advanced Keyboard Studies,2,4,MUA3224:D
MUA3226,Collaboratory,"1,2",2,
MUA3227,Collaboratory B,"1,2",2,MUA3226:D
MUA3228,Re-imagining Pianism through Analysis,1,2,
MUA3233,Contemporary Improvisation,2,2,MUT1102:D
MUA3240,Collaborative Piano - Piano Ensemble,"1,2",2,MUA2240:D
MUA3241,Collaborative Piano - Vocal Accompaniment,"1,2",2,"{'or': ['MUA2241:D', {'nOf': [2, ['MUA2242:D', 'MUA2243:D']]}]}"
MUA3242,Collaborative Piano - Instrumental Accompaniment,"1,2",2,"{'or': ['MUA2242:D', {'nOf': [2, ['MUA2241:D', 'MUA2243:D']]}]}"
MUA3243,Collaborative Piano - Chamber Music,"1,2",2,"{'or': ['MUA2243:D', {'nOf': [2, ['MUA2241:D', 'MUA2242:D']]}]}"
MUA3255,Applied Secondary C,"1,2",2,
MUA3255A,Applied Secondary,"1,2",2,MUA2256A:D
MUA3255B,Applied Secondary,"1,2",2,MUA2256B:D
MUA3256,Applied Secondary D,"1,2",2,
MUA3256A,Applied Secondary,"1,2",2,MUA3255A:D
MUA3256B,Applied Secondary,"1,2",2,MUA3255B:D
MUA3260,Internship in Music Related Pathways,"1,2,3,4",4,
MUA3261,Career Development Group Project,"1,2",4,MUA3163:D
MUA3263,Internship in Music Related Pathways 2,"1,2",4,MUA3260:D
MUA3264,Career Development Independent Project,"1,2",4,MUA3163:D
MUA3265,Career Development Independent Project 2,"1,2",4,MUA3264:D
MUA3266,Navigating Community Music Projects,"1,2",4,MUA2163:D
MUA3267,Navigating Community Music Projects,2,4,"{'nOf': [2, ['MUA3266:D', 'MUA3208:D']]}"
MUA3271,Acoustics and Sound Production for Performers,1,4,
MUA4101,Composition Major Study 4A,1,6,MUA3102:D
MUA4102,Composition Major Study 4B,"1,2",8,MUA4101:D
MUA4107,Conservatory Orchestra,"1,2",2,MUA3108:D
MUA4108,Conservatory Orchestra,"1,2",2,MUA4107:D
MUA4109,Chamber Music,"1,2",2,MUA3109:D
MUA4110,Chamber Music in Mixed Ensemble,"1,2",2,MUA3110:D
